discussion,0
play,0
ski,0
meetings,0
business,0
review,1
gate,2
dns,2
gas price,3
microturbines,3
generate,3
deal,3
power,3
electric,3
installation,3
term,3
fixed,3
forwarded,3
customer,3
number,3
honeywell,3
cost,3,16
frwy,3
enron,4,8
floor gas,4
termsmr,4
planpaula,7
meeting,8
corp,8
var,8
wednesday,8
kimberly,8
date,8
thanks,8
westgate,9
requirement,9
allen,9
unit,9
san,9
new,9
month,9
higher,9
alliance,9
richards,9
projects,9
approved,9
multifamily,9
hall,10
paul,10
good,11
check,12
trade,13,14
financial,13,14
index,13,14
juan,13,14
points,13,14
gas,13,14
prices,13,14
physical,13,14
phone,13,14
counterparty,13,14
buyer,13,14
monthly,13,14
firms,13
amerex,13
phillip,14
loan,16
land,16
investments,16
fee,16
lots,16
equity,16
creekside,16
construct,16
total improved,16
value,16
site,16
investor,16
subs,16
reports,16
expenses,16
structure,16
pre,16
labor,16
developed,16
direct,16
