discussion,0,158
play,0,95,158
ski,0,158
meetings,0,158
business,0,151,158
review,1,86
gate,2
dns,2
gas price,3
microturbines,3
generate,3
deal,3,26
power,3,93,155,157
electric,3,90,167
installation,3
term,3
fixed,3
forwarded,3,74,127,172
customer,3
number,3
honeywell,3
cost,3,16,90,167
frwy,3
enron,4,8,32,58,71,86,127,138,161,172
floor gas,4
termsmr,4
planpaula,7
meeting,8,54,75,78,103,113,127,151,170,171,172
corp,8,58,71,86,161
var,8
wednesday,8
kimberly,8,54,86
date,8,24,159,162
thanks,8,23,53,54,75,86,109
westgate,9,30
requirement,9
allen,9,16,19,24,29,30,39,159,193
unit,9
san,9,26,30
new,9,30,86,99,130
month,9,101
higher,9
alliance,9
richards,9,16,29,30
projects,9,30
approved,9,182
multifamily,9
hall,10
paul,10
good,11,41,110
check,12
trade,13,14
financial,13,14
index,13,14,109
juan,13,14
points,13,14
gas,13,14,18,38,72,95,104,108,109,134,155,157
prices,13,14,53,104,187
physical,13,14,149
phone,13,14
counterparty,13,14
buyer,13,14
monthly,13,14,149
firms,13
amerex,13
phillip,14,24,74,82,91,96,121,141,148,155,159,166,169,178,180,186,190,191
loan,16
land,16
investments,16
fee,16
lots,16,29,30
equity,16
creekside,16
construct,16
total improved,16
value,16,187
site,16,21,30
investor,16
subs,16
reports,16,121
expenses,16
structure,16
pre,16
labor,16
developed,16
direct,16
months,16
bookkeeping,16
generally,16
design,16,193
phases,16
initial,16
cover,16
considering,16
plus,16
equipment,16
buyers,16
keith,16,161,162
cornice,16
association,16
partnership,16
estimate,16
llc,16
recourse,16
spec,16
professionals,16
posted,16
meetingnymex,17
position,18,28,125,126
closing,19,81
atty,19
sound,19
key,21,134
paymentbrenda,22
sept,22
market,23,104,134,155,157,187
contact,23
calendar,24,159,162
databases,24,159,162
work,24,159,162
extension,24,159
office,24,36,51,147,159,162
chelsea,26
happy,26
mapped,27
bedroom,29
price,29,30,93,103,113,170,171,185
rental,29
additional,29,154
duplexes,29
lewter,29,30
sincerely,29
builders,29
austin,30
preferences,30
improvement,30
exceptional,30
scheduled,30
thursday,30,32,39,120
town,30
express,30
sales,30
downdraft,30
proforma,30
severe,30
freakish wind,30
single family,30
loop,30
gated,30
street,30
area,30,147
pond,30
line,30
star,30
utility,31
hotmail,31,50,51,52
assessment,32,74
program,32,36,39,84
action,32,132
participation,32
technical,32
data,32,61,83
debbie,32
survey,32,162
manager,32,58
executive,32,84
performance,35
commercial support,35
information,36,39,86,162
email,36,39,162
subject,36,39,154
smith,36,39
christi,36
john,36,39,54,75,86,161,162
provide,36,39
form,36,39
selection,36,39
sent,36,39,139,140
original,36,39,139,140,147
services,36,39
importance,36
fyi,37,71
caps,37,103,170
north,37,66,72,75,185
report,38,51,52,104
requests,42
generation,43,66
jim,43,66
sorry,43,144
belden,43
updated,44,163
plan,45
filing,46
trading,47,76
files,48
kean,49,56,164,165
